--------------------------------------------------------------------------------------------------------
| Назва      | Ціна  | Вага  | Сорт мяса  | Вид мяса        | Термін придатності | Дата помилки        |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 17.06.2022 17:30:49 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 17.06.2022 17:30:49 |
| Шашлик     | 87,3  | 849   | 1-й        | Варанина        | ·················· | 17.06.2022 17:30:49 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 17.06.2022 17:33:40 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 17.06.2022 17:33:40 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 17.06.2022 17:33:40 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 17.06.2022 17:33:40 |
| Шашлик     | 87,3  | 849   | 1-й        | Варанина        | ·················· | 17.06.2022 17:33:40 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 17.06.2022 17:50:26 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 17.06.2022 17:50:26 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 17.06.2022 17:50:26 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 17.06.2022 17:50:26 |
| Шашлик     | 87,3  | 849   | 1-й        | Варанина        | ·················· | 17.06.2022 17:50:26 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 17.06.2022 18:00:57 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 17.06.2022 18:00:57 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 17.06.2022 18:00:57 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 17.06.2022 18:00:57 |
| Шашлик     | 87,3  | 849   | 1-й        | Варанина        | ·················· | 17.06.2022 18:00:57 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 17.06.2022 18:02:57 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 17.06.2022 18:02:57 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 17.06.2022 18:02:57 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 17.06.2022 18:02:57 |
| Шашлик     | 87,3  | 849   | 1-й        | Варанина        | ·················· | 17.06.2022 18:02:57 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 17.06.2022 18:03:44 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 17.06.2022 18:03:44 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 17.06.2022 18:03:44 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 17.06.2022 18:03:44 |
| Шашлик     | 87,3  | 849   | 1-й        | Варанина        | ·················· | 17.06.2022 18:03:44 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 17.06.2022 19:35:22 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 17.06.2022 19:35:22 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 17.06.2022 19:36:13 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 17.06.2022 19:36:13 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 17.06.2022 19:36:13 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 17.06.2022 19:36:13 |
| Шашлик     | 87,3  | 849   | 1-й        | Варанина        | ·················· | 17.06.2022 19:36:13 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 17.06.2022 19:37:09 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 17.06.2022 19:37:09 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 17.06.2022 19:37:09 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 17.06.2022 19:37:09 |
| Шашлик     | 87,3  | 849   | 1-й        | Варанина        | ·················· | 17.06.2022 19:37:09 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 17.06.2022 19:37:18 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 17.06.2022 19:37:18 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 17.06.2022 19:37:18 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 17.06.2022 19:37:18 |
| Шашлик     | 87,3  | 849   | 1-й        | Варанина        | ·················· | 17.06.2022 19:37:18 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 17.06.2022 22:47:32 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 17.06.2022 22:47:32 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 17.06.2022 22:47:32 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 17.06.2022 22:47:32 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 17.06.2022 22:48:29 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 17.06.2022 22:48:29 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 17.06.2022 22:48:29 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 17.06.2022 22:48:29 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 17.06.2022 22:53:11 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 17.06.2022 22:53:11 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 17.06.2022 22:53:11 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 17.06.2022 22:53:11 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 17.06.2022 22:55:04 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 17.06.2022 22:55:04 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 17.06.2022 22:55:04 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 17.06.2022 22:55:04 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 17.06.2022 22:56:18 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 17.06.2022 22:56:18 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 17.06.2022 22:56:18 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 17.06.2022 22:56:18 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 17.06.2022 23:00:47 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 17.06.2022 23:00:47 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 17.06.2022 23:00:47 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 17.06.2022 23:00:47 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 17.06.2022 23:03:54 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 17.06.2022 23:03:54 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 17.06.2022 23:03:54 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 17.06.2022 23:03:54 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 18.06.2022 18:39:30 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 18.06.2022 18:39:30 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 18.06.2022 18:39:30 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 18.06.2022 18:39:30 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 18.06.2022 18:40:41 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 18.06.2022 18:40:41 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 18.06.2022 18:40:41 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 18.06.2022 18:40:41 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 18.06.2022 18:43:29 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 18.06.2022 18:43:29 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 18.06.2022 18:43:29 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 18.06.2022 18:43:29 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 18.06.2022 18:44:12 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 18.06.2022 18:44:12 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 18.06.2022 18:44:12 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 18.06.2022 18:44:12 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 18.06.2022 18:46:03 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 18.06.2022 18:46:03 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 18.06.2022 18:46:03 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 18.06.2022 18:46:03 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 18.06.2022 18:56:30 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 18.06.2022 18:56:30 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 18.06.2022 18:56:30 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 18.06.2022 18:56:30 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 18.06.2022 18:57:32 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 18.06.2022 18:57:32 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 18.06.2022 18:57:32 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 18.06.2022 18:57:32 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 18.06.2022 19:04:14 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 18.06.2022 19:04:14 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 18.06.2022 19:04:14 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 18.06.2022 19:04:14 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 18.06.2022 19:09:11 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 18.06.2022 19:09:11 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 18.06.2022 19:09:11 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 18.06.2022 19:09:11 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 18.06.2022 19:11:40 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 18.06.2022 19:11:40 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 18.06.2022 19:11:40 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 18.06.2022 19:11:40 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 18.06.2022 19:11:53 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 18.06.2022 19:11:53 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 18.06.2022 19:11:53 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 18.06.2022 19:11:53 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 19.06.2022 10:40:45 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 19.06.2022 10:40:45 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 19.06.2022 10:40:45 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 19.06.2022 10:40:45 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 19.06.2022 10:43:24 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 19.06.2022 10:43:24 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 19.06.2022 10:43:24 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 19.06.2022 10:43:24 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 19.06.2022 10:45:39 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 19.06.2022 10:45:39 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 19.06.2022 10:45:39 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 19.06.2022 10:45:39 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 19.06.2022 10:46:52 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 19.06.2022 10:46:52 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 19.06.2022 10:46:52 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 19.06.2022 10:46:52 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 19.06.2022 10:49:15 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 19.06.2022 10:49:15 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 19.06.2022 10:49:15 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 19.06.2022 10:49:15 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 19.06.2022 10:52:34 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 19.06.2022 10:52:34 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 19.06.2022 10:52:34 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 19.06.2022 10:52:34 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 19.06.2022 10:52:58 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 19.06.2022 10:52:58 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 19.06.2022 10:52:58 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 19.06.2022 10:52:58 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 19.06.2022 10:54:33 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 19.06.2022 10:54:33 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 19.06.2022 10:54:33 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 19.06.2022 10:54:33 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 19.06.2022 11:00:50 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 19.06.2022 11:00:50 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 19.06.2022 11:00:50 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 19.06.2022 11:00:50 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 19.06.2022 11:04:53 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 19.06.2022 11:04:53 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 19.06.2022 11:04:53 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 19.06.2022 11:04:53 |
